Samples do not have callchains.
           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
--------------- ------  ------------------------------  ---------  ---------  ---------
     519.858200 [0003]  ruby[2699/2577]                     0.000      0.000      0.000 
     519.864032 [0002]  ruby[2700/2577]                     0.000      0.000      0.000 
     519.866350 [0002]  ruby[2700/2577]                     0.000      0.000      2.318 
     519.867371 [0002]  ruby[2700/2577]                     0.000      0.000      1.020 
     519.867751 [0002]  ruby[2700/2577]                     0.000      0.000      0.380 
     519.867771 [0003]  threads_app.rb*[2699/2577]          4.347      0.000      5.222 
     519.868080 [0003]  threads_app.rb*[2699/2577]          0.000      0.000      0.309 
     519.868156 [0002]  threads_app.rb*[2700/2577]          0.000      0.000      0.405 
     519.868876 [0003]  threads_app.rb*[2699/2577]          0.000      0.000      0.796 
     519.970295 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.138 
     520.070439 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.143 
     520.175205 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.765 
     520.278995 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.789 
     520.383433 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.438 
     520.483999 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.565 
     520.584328 [0000]  threads_app.rb*[2700/2577]          0.000      0.000    716.737 
     520.686841 [0000]  threads_app.rb*[2700/2577]          0.000      0.000    102.512 
     520.788142 [0000]  threads_app.rb*[2700/2577]          0.000      0.000    101.300 
     520.888481 [0000]  threads_app.rb*[2700/2577]          0.000      0.000    100.338 
     520.899459 [0002]  threads_app.rb*[2700/2577]          0.000      0.000     11.433 
     520.991549 [0002]  threads_app.rb*[2700/2577]          0.000      0.000     92.090 
     521.092841 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.291 
     521.194984 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.142 
     521.295363 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.379 
     521.397160 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.796 
     521.500567 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.407 
     521.600899 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.331 
     521.704132 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.232 
     521.809246 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    105.114 
     521.912030 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    102.783 
     522.015632 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.602 
     522.119645 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.013 
     522.224145 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.500 
     522.327903 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.757 
     522.431747 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.843 
     522.536315 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.568 
     522.640183 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.867 
     522.744199 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    104.016 
     522.845252 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.052 
     522.945760 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.508 
     523.046304 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.544 
     523.149475 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.170 
     523.249777 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    100.302 
     523.353025 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.247 
     523.456367 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    103.341 
     523.558135 [0002]  threads_app.rb*[2700/2577]          0.000      0.000    101.767 
